category,question,answer,keywords,related_topics
General,How long do I have to return an item?,"You have 30 days from the date of delivery to initiate a return for most items. Electronics: 14 days, Food & Beverages: 7 days, Apparel & Fashion: 30 days, Home & Furniture: 30 days","return window,30 days,return period,time limit","return policy,eligibility,deadlines"
General,What items cannot be returned?,"Non-returnable items include: Perishable goods (food, flowers), Personal care items (opened cosmetics, hygiene products), Custom or personalized items, Digital downloads or software, Gift cards","non-returnable,cannot return,restrictions,excluded items","return policy,eligibility,restrictions"
General,Do I need the original packaging?,"Yes, items must be returned in their original packaging with all tags, labels, and accessories included. Items without original packaging may be subject to a restocking fee or rejection.","original packaging,tags,labels,restocking fee","return requirements,packaging,condition"
Refund Process,How long does it take to get my refund?,"Once we receive and inspect your return: Refund approval: 2-3 business days, Credit card refunds: 5-7 business days, Original payment method: 3-5 business days, Store credit: Immediate upon approval","refund timeline,processing time,how long,when will I get","refund status,processing,timeline"
Refund Process,What refund methods are available?,"Available methods: Original payment method (default), Store credit (10% bonus), Exchange for different item, Gift card","refund options,payment methods,store credit,exchange","refund methods,payment options"
Refund Process,Will I get a full refund?,"Full refunds provided when: Item is defective or damaged, Wrong item was shipped, Item returned within return window in original condition. Partial refunds may apply for: Items without original packaging (15% restocking fee), Items with missing accessories, Items showing signs of use (up to 30% deduction)","full refund,partial refund,refund amount,restocking fee","refund amounts,deductions,fees"
Return Shipping,Who pays for return shipping?,"Free return shipping if item is defective, damaged, or wrong item shipped. Customer pays return shipping for change of mind returns ($6.99 deducted from refund)","return shipping,shipping cost,who pays,free shipping","shipping,costs,fees"
Return Shipping,How do I ship my return?,"1. Log into your account, 2. Go to My Orders, 3. Select the order and click Return Item, 4. Print the return shipping label, 5. Pack the item securely, 6. Drop off at any carrier location","how to return,return process,shipping steps,return label","return process,instructions,steps"
Return Shipping,Can I return items to a physical store?,"Yes, items purchased online can be returned to any of our physical store locations with your order confirmation and ID.","in-store return,physical store,return to store,store location","return options,in-store,locations"
Damaged Items,What if my item arrived damaged?,"1. Take photos of the damage and packaging, 2. Contact support within 48 hours of delivery, 3. We'll arrange free return shipping or replacement, 4. Refund processed immediately upon receipt","damaged item,broken,defective,arrived damaged","damage,defects,quality issues"
Wrong Item,What if I received the wrong item?,"1. Contact support immediately, 2. We'll send the correct item via expedited shipping, 3. Return label provided for wrong item, 4. No charges for return shipping","wrong item,incorrect item,wrong product,mistake","shipping errors,wrong order"
Exchange,Can I exchange an item?,"Yes, exchanges are available for: Different size or color, Different product of equal or lesser value. If exchanging for higher value item, pay the difference","exchange,swap,different size,different color","exchanges,size,color,swap"
Late Return,What if I missed the return window?,"Contact our support team. We may offer: Store credit (case-by-case basis), Extended return window for defective items, Manufacturer warranty assistance","late return,missed deadline,past window,expired","exceptions,late returns,extensions"
Refund Status,How do I check my refund status?,"1. Log into your account, 2. Go to My Orders, 3. Click on the returned order, 4. View refund status and tracking","check status,refund status,track refund,where is my refund","status tracking,refund tracking"
Refund Status,What are the refund statuses?,"Return Initiated: You've started the return process, Return Shipped: Item is on its way back to us, Return Received: We've received your return, Under Review: Our team is inspecting the item, Approved: Refund has been approved, Processed: Refund has been sent to your payment method, Completed: Refund is in your account","refund stages,status meanings,refund process,tracking stages","status,stages,process"
Refund Status,What if my refund is delayed?,"Contact support if: It's been more than 3 days since approval, It's been more than 10 days since we received your return, Your refund status shows Completed but you haven't received funds","delayed refund,refund not received,missing refund,refund problem","delays,issues,problems"
Electronics,Can I return opened electronics?,"Electronics can be returned within 14 days. Opened items may be subject to restocking fee. Must include all accessories, cables, and original packaging. Defective items are always eligible for full refund.","electronics return,opened electronics,restocking fee,14 days","electronics,technology,return window"
Apparel,Can I return clothes I've worn?,"No, apparel must be unworn with all tags attached. Items showing signs of wear, perfume, or deodorant marks cannot be returned. Shoes must have unworn soles.","worn clothes,used apparel,clothing return,tags attached","apparel,clothing,fashion,condition"
Food,Can I return opened food items?,"No, food items must be unopened and sealed. Returns accepted within 7 days for unopened items, items past expiration date upon arrival, or damaged/leaking packages.","food return,opened food,perishable,7 days","food,beverages,perishables"
Gift,How do I return a gift?,"Gift returns accepted with gift receipt for refund to original payment method, or without receipt for store credit. Item must meet standard return conditions and be within return window.","gift return,no receipt,gift receipt,store credit","gifts,gift returns,no receipt"
Sale Items,Can I return sale or clearance items?,"Yes, unless marked Final Sale. Clearance items may have shorter return window (14 days). All other return policies apply. Items over 75% off may be non-returnable.","sale items,clearance,final sale,discount items","sales,clearance,discounts"
International,How do international returns work?,"International customers responsible for return shipping costs and customs/duties. Refund in original currency. Extended processing time up to 30 days. Contact support for return instructions.","international return,overseas,customs,duties","international,global,overseas"
Bulk Orders,What about bulk or business orders?,"Orders of 10+ units may have different return terms. Contact business support for assistance. May require restocking fee. Special arrangements available.","bulk order,business order,wholesale,large quantity","bulk,business,wholesale"
Contact,How can I get help with my return?,"Live Chat: Available 24/7 on our website, Email: support@company.com, Phone: 1-800-XXX-XXXX (Mon-Fri 9AM-6PM), Help Center: help.company.com","contact support,get help,customer service,support team","support,help,contact,assistance"
